title,release_date,budget,revenue,runtime,popularity,vote_average,vote_count,belongs_to_collection,director,lead_actor,profit,profit_margin,production_company,genre1,genre2,genre3
Avengers: Infinity War,2018-04-25,300000000,2052415039,149,188.4232,8.236,30597,True,Joe Russo,Robert Downey Jr.,1752415039,0.8538307338918305,Marvel Studios,Adventure,Action,Science Fiction
The Accountant,2016-10-13,44000000,155160045,128,178.4133,7.116,6658,True,Gavin O'Connor,Ben Affleck,111160045,0.7164218404293451,Zero Gravity Management,Crime,Thriller,Drama
Beauty and the Beast,2017-03-16,160000000,1266115964,129,167.1654,6.972,15649,False,Bill Condon,Emma Watson,1106115964,0.8736292689221633,Walt Disney Pictures,Family,Fantasy,Romance
Spider-Man: Homecoming,2017-07-05,175000000,880166924,133,165.7082,7.331,22237,True,Jon Watts,Tom Holland,705166924,0.8011740782024661,Marvel Studios,Action,Adventure,Science Fiction
The Suicide Squad,2021-07-28,185000000,168717425,132,163.5647,7.486,8925,True,James Gunn,Margot Robbie,-16282575,-0.09650796294455063,DC Films,Action,Comedy,Adventure
Black Panther,2018-02-13,200000000,1349926083,135,162.5665,7.373,22592,True,Ryan Coogler,Chadwick Boseman,1149926083,0.8518437398027519,Marvel Studios,Action,Adventure,Science Fiction
Wonder Woman 1984,2020-12-16,200000000,169601036,151,135.3738,6.409,8646,True,Patty Jenkins,Gal Gadot,-30398964,-0.17923807965418326,Warner Bros. Pictures,Action,Adventure,Fantasy
Kong: Skull Island,2017-03-08,185000000,566652812,118,132.3304,6.545,10667,False,Jordan Vogt-Roberts,Tom Hiddleston,381652812,0.6735214295557047,Legendary Pictures,Action,Adventure,Fantasy
Deadpool 2,2018-05-15,110000000,785896632,120,131.5534,7.49,18399,True,David Leitch,Ryan Reynolds,675896632,0.8600324832541082,Maximum Effort,Action,Comedy,Adventure
Justice League,2017-11-15,300000000,661326987,120,128.6543,6.077,13172,False,Zack Snyder,Ben Affleck,361326987,0.5463666145534145,RatPac Entertainment,Action,Adventure,Science Fiction
Star Wars: The Last Jedi,2017-12-13,200000000,1332698830,152,125.6714,6.8,15629,True,Rian Johnson,Mark Hamill,1132698830,0.849928584389918,Lucasfilm Ltd.,Adventure,Action,Science Fiction
Lilo & Stitch,2002-06-21,80000000,273144151,85,120.9177,7.553,6594,True,Chris Sanders,Daveigh Chase,193144151,0.7071143580885245,Walt Disney Pictures,Animation,Family,Comedy
Moonlight,2016-10-21,4000000,65046687,111,117.8004,7.372,7187,False,Barry Jenkins,Trevante Rhodes,61046687,0.9385057074467144,A24,Drama,,
